title,selectable
Building Act 1984 section 36,TRUE
Public Health Act 1936 section 50,TRUE
Building Act 1984 section 79,TRUE
Housing Act 1985 section 272,TRUE
Housing (Rural Workers) Act 1926 section 3,TRUE
"Leasehold Reform, Housing and Urban Development Act 1993 section 70",FALSE
Building Act 1984 section 107,TRUE
Rights of Light Act 1959 section 2(4),FALSE
Planning (Listed Buildings and Conservation Areas) Act 1990 section 55(5D),TRUE
Housing Act 2004 section 116(9) AND section 119,TRUE
Housing Act 1985 section 379,TRUE
Housing Act 1985 part IX section 282,TRUE
Private Street Works Act 1892,TRUE
Public Health Act 1936 section 95,TRUE
Housing (Financial Provisions) Act 1958,TRUE
Housing Act 2004 sub-section 20,FALSE
Town and Country Planning Act 1990,TRUE
Building Act 1984 section 84,TRUE
Covent Garden Market Act 1966,TRUE
Housing Act 2004 sub-section 11,FALSE
Housing Act 2004 sub-section 12,FALSE
Agriculture Act 1967 section 45(6),TRUE
Public Health Act 1961 section 73,TRUE
Highways Act 1980 section 253,TRUE
Greater London Council (General Powers) Act 1973 section 28(b),TRUE
Agriculture Act 1986 section 18(7),TRUE
"Town and Country Planning (Control of Advertisements) (England) regulations 1960, regulations 23",FALSE
Coast Protection Act 1949 section 10,TRUE
Town and Country Planning Act 1990 section 102,TRUE
Highways Act 1980 section 165,TRUE
Highways Act 1980 section 180,TRUE
Public Health Act 1936 section 275,TRUE
Regulatory Reform (Housing Assistance) (England and Wales) Order 2002,TRUE
Public Health Act 1936,TRUE
Ancient Monuments Act 1931,TRUE
Land Drainage Act 1976 section 31(4),TRUE
Planning (Hazardous Substances) Act 1990 section 27,TRUE
Public Health Act 1936 section 38,TRUE
Highways Act 1980 section 38,TRUE
New Towns Act 1981 section 12,TRUE
Town and Country Planning Act 1990 section 110(4),TRUE
Housing Act 1985 section 200,TRUE
Water Industry Act 1991 section 160,TRUE
Building Act 1984 section 66,TRUE
New Towns Act 1965,TRUE
Housing Act 1996 section 12A,TRUE
Field Monuments Act 1972,TRUE
Town and Country Planning Act 1990 section 198,TRUE
"Housing Grants, Construction and Regeneration Act 1996 section 87",TRUE
Land Drainage Act 1991 section 18(8),TRUE
Public Health Act 1936 section 59,TRUE
Planning (Listed Buildings and Conservation Areas) Act 1990 section 2(2),TRUE
Housing Act 1985 section 36A,TRUE
Prevention of Damage by Pests Act 1949 section 4,TRUE
Housing Act 1985 section 384,TRUE
Housing Act 1964,TRUE
Housing Act 2004 section 129(8),TRUE
Gas Act 1965 section 5(10),TRUE
Requisitioned Land and War Works Act 1948 section 12,TRUE
Highways Act 1980 section 176,TRUE
Ancient Monuments and Archaeological Areas Act 1979 section 1(9),TRUE
Agriculture Act 1947,TRUE
